epoch,loss,acc,F_value, precision,recall,auc,aupr,mcc,threadhold
068,0.363343,0.799223,0.404213,0.314108,0.566807,0.780358,0.336948,0.313855,0.160000
069,0.349350,0.835559,0.395277,0.354120,0.447257,0.778790,0.344510,0.304356,0.300000
070,0.387730,0.787054,0.379921,0.292203,0.542897,0.754696,0.304245,0.283666,0.150000
071,0.349745,0.831671,0.422274,0.359329,0.511955,0.778717,0.365736,0.334306,0.410000
072,0.346054,0.836404,0.400248,0.357697,0.454290,0.769004,0.332812,0.310022,0.300000
073,0.348069,0.795673,0.400595,0.309342,0.568214,0.774705,0.321803,0.309644,0.160000
074,0.339055,0.819165,0.400896,0.333023,0.503516,0.778920,0.345533,0.308463,0.260000
075,0.347843,0.804124,0.394145,0.313644,0.530239,0.765443,0.324764,0.300446,0.190000
076,0.363548,0.827615,0.382567,0.335813,0.444444,0.760073,0.312778,0.288417,0.290000
077,0.345496,0.843671,0.419335,0.378685,0.469761,0.789871,0.350071,0.332773,0.320000
078,0.344864,0.779787,0.405294,0.300000,0.624473,0.783150,0.336811,0.319434,0.150000
079,0.346858,0.809194,0.392030,0.317627,0.511955,0.764896,0.335247,0.297640,0.160000
080,0.374320,0.827953,0.399055,0.343845,0.475387,0.766464,0.308438,0.307061,0.240000
081,0.377839,0.829812,0.393008,0.343882,0.458509,0.756778,0.330267,0.300530,0.320000
082,0.352205,0.785871,0.394070,0.298551,0.579466,0.767200,0.318822,0.302578,0.240000
083,0.350610,0.827953,0.414943,0.350826,0.507736,0.786671,0.345417,0.325489,0.290000
084,0.394626,0.804631,0.375135,0.304653,0.488045,0.754469,0.331050,0.277031,0.120000
085,0.354453,0.748014,0.328076,0.241379,0.511955,0.721862,0.255001,0.218026,0.180000
086,0.433739,0.843164,0.385430,0.364205,0.409283,0.758918,0.317574,0.296554,0.250000
087,0.365033,0.788237,0.390268,0.298363,0.563994,0.766956,0.304705,0.297114,0.130000
088,0.368709,0.830150,0.371482,0.334459,0.417722,0.745266,0.299082,0.276947,0.280000
089,0.376001,0.819334,0.403127,0.334259,0.507736,0.771384,0.314249,0.311135,0.150000
090,0.369057,0.789589,0.385792,0.297112,0.549930,0.755775,0.302836,0.291050,0.240000
091,0.358260,0.835052,0.386935,0.349603,0.433193,0.778791,0.334624,0.295141,0.170000
092,0.398302,0.803279,0.377540,0.304573,0.496484,0.754479,0.312711,0.279918,0.140000
093,0.396152,0.808856,0.392262,0.317391,0.513361,0.763335,0.314215,0.297928,0.120000
094,0.392147,0.752577,0.379135,0.271403,0.628692,0.769132,0.303596,0.288878,0.110000
095,0.360295,0.767788,0.361524,0.269951,0.547117,0.741716,0.285023,0.261386,0.140000
096,0.404461,0.840629,0.388060,0.360241,0.420534,0.757130,0.341748,0.298247,0.440000
097,0.377404,0.835728,0.397770,0.355482,0.451477,0.767203,0.344626,0.307131,0.180000
098,0.390942,0.788575,0.371673,0.289062,0.520394,0.752419,0.307261,0.272918,0.120000
099,0.385997,0.791279,0.353741,0.281667,0.475387,0.740441,0.287324,0.250528,0.160000
100,0.360170,0.848065,0.420374,0.388095,0.458509,0.762326,0.363152,0.335179,0.400000
